English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country,Director,Film_Studio
Hallelujah!,1929-01-01,King Vidor,,1,Oscar - Best Director,0,,,King Vidor,
Skippy,1930-01-01,Norman Taurog,,1,Oscar - Best Director,0,,,Norman Taurog,
A Free Soul,1930-01-01,Clarence Brown,,1,Oscar - Best Director,0,,,Clarence Brown,
The Front Page,1930-01-01,Lewis Milestone,,1,Oscar - Best Director,0,,,Lewis Milestone,
Cimarron,1930-01-01,Wesley Ruggles,,1,Oscar - Best Director,0,,,Wesley Ruggles,
Morocco,1930-01-01,Josef von Sternberg,,1,Oscar - Best Director,0,,,Josef von Sternberg,
Bad Girl,1931-01-01,Frank Borzage,,1,Oscar - Best Director,0,,,Frank Borzage,
The Champ,1931-01-01,King Vidor,,1,Oscar - Best Director,0,,,King Vidor,
Shanghai Express,1931-01-01,Josef von Sternberg,,1,Oscar - Best Director,0,,,Josef von Sternberg,
Cavalcade,1932-01-01,Frank Lloyd,,1,Oscar - Best Director,0,,,Frank Lloyd,
Lady for a Day,1932-01-01,Frank Capra,,1,Oscar - Best Director,0,,,Frank Capra,
Little Women,1932-01-01,George Cukor,,1,Oscar - Best Director,0,,,George Cukor,
It Happened One Night,1934-01-01,Frank Capra,,1,Oscar - Best Director,0,,,Frank Capra,
One Night of Love,1934-01-01,Victor Schertzinger,,1,Oscar - Best Director,0,,,Victor Schertzinger,
The Thin Man,1934-01-01,W. S. Van Dyke,,1,Oscar - Best Director,0,,,W. S. Van Dyke,
The Informer,1935-01-01,John Ford,,1,Oscar - Best Director,0,,,John Ford,
The Lives of a Bengal Lancer,1935-01-01,Henry Hathaway,,1,Oscar - Best Director,0,,,Henry Hathaway,
Mutiny on the Bounty,1935-01-01,Frank Lloyd,,1,Oscar - Best Director,0,,,Frank Lloyd,
Captain Blood,1935-01-01,Michael Curtiz ,,1,Oscar - Best Director,0,,,Michael Curtiz ,
Mr. Deeds Goes to Town,1936-01-01,Frank Capra,,1,Oscar - Best Director,0,,,Frank Capra,
My Man Godfrey,1936-01-01,Gregory La Cava,,1,Oscar - Best Director,0,,,Gregory La Cava,
The Great Ziegfeld,1936-01-01,Robert Z. Leonard,,1,Oscar - Best Director,0,,,Robert Z. Leonard,
San Francisco,1936-01-01,W. S. Van Dyke,,1,Oscar - Best Director,0,,,W. S. Van Dyke,
Dodsworth,1936-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
The Awful Truth,1937-01-01,Leo McCarey,,1,Oscar - Best Director,0,,,Leo McCarey,
The Life of Emile Zola,1937-01-01,William Dieterle,,1,Oscar - Best Director,0,,,William Dieterle,
The Good Earth,1937-01-01,Sidney Franklin,,1,Oscar - Best Director,0,,,Sidney Franklin,
Stage Door,1937-01-01,Gregory La Cava,,1,Oscar - Best Director,0,,,Gregory La Cava,
A Star Is Born,1937-01-01,William A. Wellman,,1,Oscar - Best Director,0,,,William A. Wellman,
You Can't Take It with You,1938-01-01,Frank Capra,,1,Oscar - Best Director,0,,,Frank Capra,
Angels with Dirty Faces,1938-01-01,Michael Curtiz,,1,Oscar - Best Director,0,,,Michael Curtiz,
Four Daughters,1938-01-01,Michael Curtiz,,1,Oscar - Best Director,0,,,Michael Curtiz,
Boys Town,1938-01-01,Norman Taurog,,1,Oscar - Best Director,0,,,Norman Taurog,
The Citadel,1938-01-01,King Vidor,,1,Oscar - Best Director,0,,,King Vidor,
Gone with the Wind,1939-01-01,Victor Fleming,,1,Oscar - Best Director,0,,,Victor Fleming,
Mr. Smith Goes to Washington,1939-01-01,Frank Capra,,1,Oscar - Best Director,0,,,Frank Capra,
Stagecoach,1939-01-01,John Ford,,1,Oscar - Best Director,0,,,John Ford,
"Goodbye, Mr. Chips",1939-01-01,Sam Wood,,1,Oscar - Best Director,0,,,Sam Wood,
Wuthering Heights,1939-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
The Grapes of Wrath,1940-01-01,John Ford,,1,Oscar - Best Director,0,,,John Ford,
The Philadelphia Story,1940-01-01,George Cukor,,1,Oscar - Best Director,0,,,George Cukor,
Rebecca,1940-01-01,Alfred Hitchcock,,1,Oscar - Best Director,0,,,Alfred Hitchcock,
Kitty Foyle,1940-01-01,Sam Wood,,1,Oscar - Best Director,0,,,Sam Wood,
The Letter,1940-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
How Green Was My Valley,1941-01-01,John Ford,,1,Oscar - Best Director,0,,,John Ford,
Here Comes Mr. Jordan,1941-01-01,Alexander Hall,,1,Oscar - Best Director,0,,,Alexander Hall,
Sergeant York,1941-01-01,Howard Hawks,,1,Oscar - Best Director,0,,,Howard Hawks,
Citizen Kane,1941-01-01,Orson Welles,,1,Oscar - Best Director,0,,,Orson Welles,
The Little Foxes,1941-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
Mrs. Miniver,1942-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
Yankee Doodle Dandy,1942-01-01,Michael Curtiz,,1,Oscar - Best Director,0,,,Michael Curtiz,
Wake Island,1942-01-01,John Farrow,,1,Oscar - Best Director,0,,,John Farrow,
Random Harvest,1942-01-01,Mervyn LeRoy,,1,Oscar - Best Director,0,,,Mervyn LeRoy,
Kings Row,1942-01-01,Sam Wood,,1,Oscar - Best Director,0,,,Sam Wood,
Casablanca,1943-01-01,Michael Curtiz,,1,Oscar - Best Director,0,,,Michael Curtiz,
The Human Comedy,1943-01-01,Clarence Brown,,1,Oscar - Best Director,0,,,Clarence Brown,
The Song of Bernadette,1943-01-01,Henry King,,1,Oscar - Best Director,0,,,Henry King,
Heaven Can Wait,1943-01-01,Ernst Lubitsch,,1,Oscar - Best Director,0,,,Ernst Lubitsch,
The More the Merrier,1943-01-01,George Stevens,,1,Oscar - Best Director,0,,,George Stevens,
Going My Way,1944-01-01,Leo McCarey,,1,Oscar - Best Director,0,,,Leo McCarey,
Lifeboat,1944-01-01,Alfred Hitchcock,,1,Oscar - Best Director,0,,,Alfred Hitchcock,
Wilson,1944-01-01,Henry King,,1,Oscar - Best Director,0,,,Henry King,
Laura,1944-01-01,Otto Preminger,,1,Oscar - Best Director,0,,,Otto Preminger,
Double Indemnity,1944-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
The Lost Weekend,1945-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
National Velvet,1945-01-01,Clarence Brown,,1,Oscar - Best Director,0,,,Clarence Brown,
Spellbound,1945-01-01,Alfred Hitchcock,,1,Oscar - Best Director,0,,,Alfred Hitchcock,
The Bells of St. Mary's,1945-01-01,Leo McCarey,,1,Oscar - Best Director,0,,,Leo McCarey,
The Southerner,1945-01-01,Jean Renoir,,1,Oscar - Best Director,0,,,Jean Renoir,
The Best Years of Our Lives,1946-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
The Yearling,1946-01-01,Clarence Brown,,1,Oscar - Best Director,0,,,Clarence Brown,
It's a Wonderful Life,1946-01-01,Frank Capra,,1,Oscar - Best Director,0,,,Frank Capra,
Brief Encounter,1946-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
The Killers,1946-01-01,Robert Siodmak,,1,Oscar - Best Director,0,,,Robert Siodmak,
Gentleman's Agreement,1947-01-01,Elia Kazan,,1,Oscar - Best Director,0,,,Elia Kazan,
A Double Life,1947-01-01,George Cukor,,1,Oscar - Best Director,0,,,George Cukor,
Crossfire,1947-01-01,Edward Dmytryk,,1,Oscar - Best Director,0,,,Edward Dmytryk,
The Bishop's Wife,1947-01-01,Henry Koster,,1,Oscar - Best Director,0,,,Henry Koster,
Great Expectations,1947-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
The Treasure of the Sierra Madre,1948-01-01,John Huston,,1,Oscar - Best Director,0,,,John Huston,
The Snake Pit,1948-01-01,Anatole Litvak,,1,Oscar - Best Director,0,,,Anatole Litvak,
Johnny Belinda,1948-01-01,Jean Negulesco,,1,Oscar - Best Director,0,,,Jean Negulesco,
Hamlet,1948-01-01,Laurence Olivier,,1,Oscar - Best Director,0,,,Laurence Olivier,
The Search,1948-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
A Letter to Three Wives,1949-01-01,Joseph L. Mankiewicz,,1,Oscar - Best Director,0,,,Joseph L. Mankiewicz,
The Fallen Idol,1949-01-01,Carol Reed,,1,Oscar - Best Director,0,,,Carol Reed,
All the King's Men,1949-01-01,Robert Rossen,,1,Oscar - Best Director,0,,,Robert Rossen,
Battleground,1949-01-01,William A. Wellman,,1,Oscar - Best Director,0,,,William A. Wellman,
The Heiress,1949-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
All About Eve,1950-01-01,Joseph L. Mankiewicz,,1,Oscar - Best Director,0,,,Joseph L. Mankiewicz,
Born Yesterday,1950-01-01,George Cukor,,1,Oscar - Best Director,0,,,George Cukor,
The Asphalt Jungle,1950-01-01,John Huston,,1,Oscar - Best Director,0,,,John Huston,
The Third Man,1950-01-01,Carol Reed,,1,Oscar - Best Director,0,,,Carol Reed,
Sunset Boulevard,1950-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
A Place in the Sun,1951-01-01,George Stevens,,1,Oscar - Best Director,0,,,George Stevens,
The African Queen,1951-01-01,John Huston,,1,Oscar - Best Director,0,,,John Huston,
A Streetcar Named Desire,1951-01-01,Elia Kazan,,1,Oscar - Best Director,0,,,Elia Kazan,
An American in Paris,1951-01-01,Vincente Minnelli,,1,Oscar - Best Director,0,,,Vincente Minnelli,
Detective Story,1951-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
The Quiet Man,1952-01-01,John Ford,,1,Oscar - Best Director,0,,,John Ford,
The Greatest Show on Earth,1952-01-01,Cecil B. DeMille,,1,Oscar - Best Director,0,,,Cecil B. DeMille,
Moulin Rouge,1952-01-01,John Huston,,1,Oscar - Best Director,0,,,John Huston,
5 Fingers,1952-01-01,Joseph L. Mankiewicz,,1,Oscar - Best Director,0,,,Joseph L. Mankiewicz,
High Noon,1952-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
From Here to Eternity,1953-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
Shane,1953-01-01,George Stevens,,1,Oscar - Best Director,0,,,George Stevens,
Lili,1953-01-01,Charles Walters,,1,Oscar - Best Director,0,,,Charles Walters,
Stalag 17,1953-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
Roman Holiday,1953-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
On the Waterfront,1954-01-01,Elia Kazan,,1,Oscar - Best Director,0,,,Elia Kazan,
Rear Window,1954-01-01,Alfred Hitchcock,,1,Oscar - Best Director,0,,,Alfred Hitchcock,
The Country Girl,1954-01-01,George Seaton,,1,Oscar - Best Director,0,,,George Seaton,
The High and the Mighty,1954-01-01,William A. Wellman,,1,Oscar - Best Director,0,,,William A. Wellman,
Sabrina,1954-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
Marty,1955-01-01,Delbert Mann,,1,Oscar - Best Director,0,,,Delbert Mann,
East of Eden,1955-01-01,Elia Kazan,,1,Oscar - Best Director,0,,,Elia Kazan,
Summertime,1955-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
Picnic,1955-01-01,Joshua Logan,,1,Oscar - Best Director,0,,,Joshua Logan,
Bad Day at Black Rock,1955-01-01,John Sturges,,1,Oscar - Best Director,0,,,John Sturges,
Giant,1956-01-01,George Stevens,,1,Oscar - Best Director,0,,,George Stevens,
Around the World in 80 Days,1956-01-01,Michael Anderson,,1,Oscar - Best Director,0,,,Michael Anderson,
The King and I,1956-01-01,Walter Lang,,1,Oscar - Best Director,0,,,Walter Lang,
War and Peace,1956-01-01,King Vidor,,1,Oscar - Best Director,0,,,King Vidor,
Friendly Persuasion,1956-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
The Bridge on the River Kwai,1957-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
Sayonara,1957-01-01,Joshua Logan,,1,Oscar - Best Director,0,,,Joshua Logan,
12 Angry Men,1957-01-01,Sidney Lumet,,1,Oscar - Best Director,0,,,Sidney Lumet,
Peyton Place,1957-01-01,Mark Robson,,1,Oscar - Best Director,0,,,Mark Robson,
Witness for the Prosecution,1957-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
Gigi,1958-01-01,Vincente Minnelli,,1,Oscar - Best Director,0,,,Vincente Minnelli,
Cat on a Hot Tin Roof,1958-01-01,Richard Brooks,,1,Oscar - Best Director,0,,,Richard Brooks,
The Defiant Ones,1958-01-01,Stanley Kramer,,1,Oscar - Best Director,0,,,Stanley Kramer,
The Inn of the Sixth Happiness,1958-01-01,Mark Robson,,1,Oscar - Best Director,0,,,Mark Robson,
I Want to Live!,1958-01-01,Robert Wise,,1,Oscar - Best Director,0,,,Robert Wise,
Ben-Hur,1959-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
Room at the Top,1959-01-01,Jack Clayton,,1,Oscar - Best Director,0,,,Jack Clayton,
The Diary of Anne Frank,1959-01-01,George Stevens,,1,Oscar - Best Director,0,,,George Stevens,
Some Like It Hot,1959-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
The Nun's Story,1959-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
The Apartment,1960-01-01,Billy Wilder,,1,Oscar - Best Director,0,,,Billy Wilder,
Sons and Lovers,1960-01-01,Jack Cardiff,,1,Oscar - Best Director,0,,,Jack Cardiff,
Never on Sunday,1960-01-01,Jules Dassin,,1,Oscar - Best Director,0,,,Jules Dassin,
Psycho,1960-01-01,Alfred Hitchcock,,1,Oscar - Best Director,0,,,Alfred Hitchcock,
The Sundowners,1960-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
West Side Story,1961-01-01,Jerome Robbins & Robert Wise,,1,Oscar - Best Director,0,,,Jerome Robbins & Robert Wise,
La Dolce Vita,1961-01-01,Federico Fellini,,1,Oscar - Best Director,0,,,Federico Fellini,
Judgment at Nuremberg,1961-01-01,Stanley Kramer,,1,Oscar - Best Director,0,,,Stanley Kramer,
The Hustler,1961-01-01,Robert Rossen,,1,Oscar - Best Director,0,,,Robert Rossen,
The Guns of Navarone,1961-01-01,J. Lee Thompson,,1,Oscar - Best Director,0,,,J. Lee Thompson,
Lawrence of Arabia,1962-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
Divorce Italian Style,1962-01-01,Pietro Germi,,1,Oscar - Best Director,0,,,Pietro Germi,
To Kill a Mockingbird,1962-01-01,Robert Mulligan,,1,Oscar - Best Director,0,,,Robert Mulligan,
The Miracle Worker,1962-01-01,Arthur Penn,,1,Oscar - Best Director,0,,,Arthur Penn,
David and Lisa,1962-01-01,Frank Perry,,1,Oscar - Best Director,0,,,Frank Perry,
Tom Jones,1963-01-01,Tony Richardson,,1,Oscar - Best Director,0,,,Tony Richardson,
8½,1963-01-01,Federico Fellini,,1,Oscar - Best Director,0,,,Federico Fellini,
America America,1963-01-01,Elia Kazan,,1,Oscar - Best Director,0,,,Elia Kazan,
The Cardinal,1963-01-01,Otto Preminger,,1,Oscar - Best Director,0,,,Otto Preminger,
Hud,1963-01-01,Martin Ritt,,1,Oscar - Best Director,0,,,Martin Ritt,
My Fair Lady,1964-01-01,George Cukor,,1,Oscar - Best Director,0,,,George Cukor,
Zorba the Greek,1964-01-01,Michael Cacoyannis,,1,Oscar - Best Director,0,,,Michael Cacoyannis,
Becket,1964-01-01,Peter Glenville,,1,Oscar - Best Director,0,,,Peter Glenville,
Dr. Strangelove,1964-01-01,Stanley Kubrick,,1,Oscar - Best Director,0,,,Stanley Kubrick,
Mary Poppins,1964-01-01,Robert Stevenson,,1,Oscar - Best Director,0,,,Robert Stevenson,
The Sound of Music,1965-01-01,Robert Wise,,1,Oscar - Best Director,0,,,Robert Wise,
Doctor Zhivago,1965-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
Darling,1965-01-01,John Schlesinger,,1,Oscar - Best Director,0,,,John Schlesinger,
Woman in the Dunes,1965-01-01,Hiroshi Teshigahara,,1,Oscar - Best Director,0,,,Hiroshi Teshigahara,
The Collector,1965-01-01,William Wyler,,1,Oscar - Best Director,0,,,William Wyler,
A Man for All Seasons,1966-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
Blowup,1966-01-01,Michelangelo Antonioni,,1,Oscar - Best Director,0,,,Michelangelo Antonioni,
The Professionals,1966-01-01,Richard Brooks,,1,Oscar - Best Director,0,,,Richard Brooks,
A Man and a Woman,1966-01-01,Claude Lelouch,,1,Oscar - Best Director,0,,,Claude Lelouch,
Who's Afraid of Virginia Woolf?,1966-01-01,Mike Nichols,,1,Oscar - Best Director,0,,,Mike Nichols,
The Graduate,1967-01-01,Mike Nichols,,1,Oscar - Best Director,0,,,Mike Nichols,
In Cold Blood,1967-01-01,Richard Brooks,,1,Oscar - Best Director,0,,,Richard Brooks,
In the Heat of the Night,1967-01-01,Norman Jewison,,1,Oscar - Best Director,0,,,Norman Jewison,
Guess Who's Coming to Dinner,1967-01-01,Stanley Kramer,,1,Oscar - Best Director,0,,,Stanley Kramer,
Bonnie and Clyde,1967-01-01,Arthur Penn,,1,Oscar - Best Director,0,,,Arthur Penn,
Oliver!,1968-01-01,Carol Reed,,1,Oscar - Best Director,0,,,Carol Reed,
The Lion in Winter,1968-01-01,Anthony Harvey,,1,Oscar - Best Director,0,,,Anthony Harvey,
2001: A Space Odyssey,1968-01-01,Stanley Kubrick,,1,Oscar - Best Director,0,,,Stanley Kubrick,
The Battle of Algiers,1968-01-01,Gillo Pontecorvo,,1,Oscar - Best Director,0,,,Gillo Pontecorvo,
Romeo and Juliet,1968-01-01,Franco Zeffirelli,,1,Oscar - Best Director,0,,,Franco Zeffirelli,
Midnight Cowboy,1969-01-01,John Schlesinger,,1,Oscar - Best Director,0,,,John Schlesinger,
Z,1969-01-01,Costa-Gavras,,1,Oscar - Best Director,0,,,Costa-Gavras,
Butch Cassidy and the Sundance Kid,1969-01-01,George Roy Hill,,1,Oscar - Best Director,0,,,George Roy Hill,
Alice's Restaurant,1969-01-01,Arthur Penn,,1,Oscar - Best Director,0,,,Arthur Penn,
"They Shoot Horses, Don't They?",1969-01-01,Sydney Pollack,,1,Oscar - Best Director,0,,,Sydney Pollack,
Patton,1970-01-01,Franklin J. Schaffner,,1,Oscar - Best Director,0,,,Franklin J. Schaffner,
M*A*S*H,1970-01-01,Robert Altman,,1,Oscar - Best Director,0,,,Robert Altman,
Fellini Satyricon,1970-01-01,Federico Fellini,,1,Oscar - Best Director,0,,,Federico Fellini,
Love Story,1970-01-01,Arthur Hiller,,1,Oscar - Best Director,0,,,Arthur Hiller,
Women in Love,1970-01-01,Ken Russell,,1,Oscar - Best Director,0,,,Ken Russell,
The French Connection,1971-01-01,William Friedkin,,1,Oscar - Best Director,0,,,William Friedkin,
The Last Picture Show,1971-01-01,Peter Bogdanovich,,1,Oscar - Best Director,0,,,Peter Bogdanovich,
Fiddler on the Roof,1971-01-01,Norman Jewison,,1,Oscar - Best Director,0,,,Norman Jewison,
A Clockwork Orange,1971-01-01,Stanley Kubrick,,1,Oscar - Best Director,0,,,Stanley Kubrick,
Sunday Bloody Sunday,1971-01-01,John Schlesinger,,1,Oscar - Best Director,0,,,John Schlesinger,
Cabaret,1972-01-01,Bob Fosse,,1,Oscar - Best Director,0,,,Bob Fosse,
Deliverance,1972-01-01,John Boorman,,1,Oscar - Best Director,0,,,John Boorman,
The Godfather,1972-01-01,Francis Ford Coppola,,1,Oscar - Best Director,0,,,Francis Ford Coppola,
Sleuth,1972-01-01,Joseph L. Mankiewicz,,1,Oscar - Best Director,0,,,Joseph L. Mankiewicz,
The Emigrants,1972-01-01,Jan Troell,,1,Oscar - Best Director,0,,,Jan Troell,
The Sting,1973-01-01,George Roy Hill,,1,Oscar - Best Director,0,,,George Roy Hill,
Cries and Whispers,1973-01-01,Ingmar Bergman,,1,Oscar - Best Director,0,,,Ingmar Bergman,
Last Tango in Paris,1973-01-01,Bernardo Bertolucci,,1,Oscar - Best Director,0,,,Bernardo Bertolucci,
The Exorcist,1973-01-01,William Friedkin,,1,Oscar - Best Director,0,,,William Friedkin,
American Graffiti,1973-01-01,George Lucas,,1,Oscar - Best Director,0,,,George Lucas,
The Godfather Part II,1974-01-01,Francis Ford Coppola,,1,Oscar - Best Director,0,,,Francis Ford Coppola,
A Woman Under the Influence,1974-01-01,John Cassavetes,,1,Oscar - Best Director,0,,,John Cassavetes,
Lenny,1974-01-01,Bob Fosse,,1,Oscar - Best Director,0,,,Bob Fosse,
Chinatown,1974-01-01,Roman Polanski,,1,Oscar - Best Director,0,,,Roman Polanski,
Day for Night,1974-01-01,François Truffaut,,1,Oscar - Best Director,0,,,François Truffaut,
One Flew Over the Cuckoo's Nest,1975-01-01,Miloš Forman,,1,Oscar - Best Director,0,,,Miloš Forman,
Nashville,1975-01-01,Robert Altman,,1,Oscar - Best Director,0,,,Robert Altman,
Amarcord,1975-01-01,Federico Fellini,,1,Oscar - Best Director,0,,,Federico Fellini,
Barry Lyndon,1975-01-01,Stanley Kubrick,,1,Oscar - Best Director,0,,,Stanley Kubrick,
Dog Day Afternoon,1975-01-01,Sidney Lumet,,1,Oscar - Best Director,0,,,Sidney Lumet,
Rocky,1976-01-01,John G. Avildsen,,1,Oscar - Best Director,0,,,John G. Avildsen,
Face to Face,1976-01-01,Ingmar Bergman,,1,Oscar - Best Director,0,,,Ingmar Bergman,
Network,1976-01-01,Sidney Lumet,,1,Oscar - Best Director,0,,,Sidney Lumet,
All the President's Men,1976-01-01,Alan J. Pakula,,1,Oscar - Best Director,0,,,Alan J. Pakula,
Seven Beauties,1976-01-01,Lina Wertmüller,,1,Oscar - Best Director,0,,,Lina Wertmüller,
Annie Hall,1977-01-01,Woody Allen,,1,Oscar - Best Director,0,,,Woody Allen,
Star Wars,1977-01-01,George Lucas,,1,Oscar - Best Director,0,,,George Lucas,
The Turning Point,1977-01-01,Herbert Ross,,1,Oscar - Best Director,0,,,Herbert Ross,
Close Encounters of the Third Kind,1977-01-01,Steven Spielberg,,1,Oscar - Best Director,0,,,Steven Spielberg,
Julia,1977-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,,Fred Zinnemann,
The Deer Hunter,1978-01-01,Michael Cimino,,1,Oscar - Best Director,0,,,Michael Cimino,
Interiors,1978-01-01,Woody Allen,,1,Oscar - Best Director,0,,,Woody Allen,
Coming Home,1978-01-01,Hal Ashby,,1,Oscar - Best Director,0,,,Hal Ashby,
Heaven Can Wait,1978-01-01,Warren Beatty & Buck Henry,,1,Oscar - Best Director,0,,,Warren Beatty & Buck Henry,
Midnight Express,1978-01-01,Alan Parker,,1,Oscar - Best Director,0,,,Alan Parker,
Kramer vs. Kramer,1979-01-01,Robert Benton,,1,Oscar - Best Director,0,,,Robert Benton,
Apocalypse Now,1979-01-01,Francis Ford Coppola,,1,Oscar - Best Director,0,,,Francis Ford Coppola,
All That Jazz,1979-01-01,Bob Fosse,,1,Oscar - Best Director,0,,,Bob Fosse,
La Cage aux Folles,1979-01-01,Édouard Molinaro,,1,Oscar - Best Director,0,,,Édouard Molinaro,
Breaking Away,1979-01-01,Peter Yates,,1,Oscar - Best Director,0,,,Peter Yates,
Ordinary People,1980-01-01,Robert Redford,,1,Oscar - Best Director,0,,,Robert Redford,
The Elephant Man,1980-01-01,David Lynch,,1,Oscar - Best Director,0,,,David Lynch,
Tess,1980-01-01,Roman Polanski,,1,Oscar - Best Director,0,,,Roman Polanski,
The Stunt Man,1980-01-01,Richard Rush,,1,Oscar - Best Director,0,,,Richard Rush,
Raging Bull,1980-01-01,Martin Scorsese,,1,Oscar - Best Director,0,,,Martin Scorsese,
Reds,1981-01-01,Warren Beatty,,1,Oscar - Best Director,0,,,Warren Beatty,
Chariots of Fire,1981-01-01,Hugh Hudson,,1,Oscar - Best Director,0,,,Hugh Hudson,
Atlantic City,1981-01-01,Louis Malle,,1,Oscar - Best Director,0,,,Louis Malle,
On Golden Pond,1981-01-01,Mark Rydell,,1,Oscar - Best Director,0,,,Mark Rydell,
Raiders of the Lost Ark,1981-01-01,Steven Spielberg,,1,Oscar - Best Director,0,,,Steven Spielberg,
Gandhi,1982-01-01,Richard Attenborough,,1,Oscar - Best Director,0,,,Richard Attenborough,
The Verdict,1982-01-01,Sidney Lumet,,1,Oscar - Best Director,0,,,Sidney Lumet,
Das Boot,1982-01-01,Wolfgang Petersen,,1,Oscar - Best Director,0,,,Wolfgang Petersen,
Tootsie,1982-01-01,Sydney Pollack,,1,Oscar - Best Director,0,,,Sydney Pollack,
E.T. the Extra-Terrestrial,1982-01-01,Steven Spielberg,,1,Oscar - Best Director,0,,,Steven Spielberg,
Terms of Endearment,1983-01-01,James L. Brooks,,1,Oscar - Best Director,0,,,James L. Brooks,
Tender Mercies,1983-01-01,Bruce Beresford,,1,Oscar - Best Director,0,,,Bruce Beresford,
Fanny and Alexander,1983-01-01,Ingmar Bergman,,1,Oscar - Best Director,0,,,Ingmar Bergman,
Silkwood,1983-01-01,Mike Nichols,,1,Oscar - Best Director,0,,,Mike Nichols,
The Dresser,1983-01-01,Peter Yates,,1,Oscar - Best Director,0,,,Peter Yates,
Amadeus,1984-01-01,Miloš Forman,,1,Oscar - Best Director,0,,,Miloš Forman,
Broadway Danny Rose,1984-01-01,Woody Allen,,1,Oscar - Best Director,0,,,Woody Allen,
Places in the Heart,1984-01-01,Robert Benton,,1,Oscar - Best Director,0,,,Robert Benton,
The Killing Fields,1984-01-01,Roland Joffé,,1,Oscar - Best Director,0,,,Roland Joffé,
A Passage to India,1984-01-01,David Lean,,1,Oscar - Best Director,0,,,David Lean,
Out of Africa,1985-01-01,Sydney Pollack,,1,Oscar - Best Director,0,,,Sydney Pollack,
Kiss of the Spider Woman,1985-01-01,Héctor Babenco,,1,Oscar - Best Director,0,,,Héctor Babenco,
Prizzi's Honor,1985-01-01,John Huston,,1,Oscar - Best Director,0,,,John Huston,
Ran,1985-01-01,Akira Kurosawa,,1,Oscar - Best Director,0,,,Akira Kurosawa,
Witness,1985-01-01,Peter Weir,,1,Oscar - Best Director,0,,,Peter Weir,
Platoon,1986-01-01,Oliver Stone,,1,Oscar - Best Director,0,,,Oliver Stone,
Hannah and Her Sisters,1986-01-01,Woody Allen,,1,Oscar - Best Director,0,,,Woody Allen,
A Room with a View,1986-01-01,James Ivory,,1,Oscar - Best Director,0,,,James Ivory,
The Mission,1986-01-01,Roland Joffé,,1,Oscar - Best Director,0,,,Roland Joffé,
Blue Velvet,1986-01-01,David Lynch,,1,Oscar - Best Director,0,,,David Lynch,
The Last Emperor,1987-01-01,Bernardo Bertolucci,,1,Oscar - Best Director,0,,,Bernardo Bertolucci,
Hope and Glory,1987-01-01,John Boorman,,1,Oscar - Best Director,0,,,John Boorman,
My Life as a Dog,1987-01-01,Lasse Hallström,,1,Oscar - Best Director,0,,,Lasse Hallström,
Moonstruck,1987-01-01,Norman Jewison,,1,Oscar - Best Director,0,,,Norman Jewison,
Fatal Attraction,1987-01-01,Adrian Lyne,,1,Oscar - Best Director,0,,,Adrian Lyne,
Rain Man,1988-01-01,Barry Levinson,,1,Oscar - Best Director,0,,,Barry Levinson,
A Fish Called Wanda,1988-01-01,Charles Crichton,,1,Oscar - Best Director,0,,,Charles Crichton,
Working Girl,1988-01-01,Mike Nichols,,1,Oscar - Best Director,0,,,Mike Nichols,
